COMUNA,NOM_COMUNA,GEOCODIGO,SHAPE_Area,geometry,metros_cuadrados
13123,PROVIDENCIA,13123061004,1.50860167902e-05,"POLYGON ((-70.63050282099994 -33.441014225999936, -70.63135565599998 -33.44117646299998, -70.63143363199998 -33.440816257999984, -70.63146246299993 -33.44068307599997, -70.63049168699996 -33.44050590899997, -70.63026128099995 -33.44046194699996, -70.63008082699997 -33.44042751599994, -70.63003248599995 -33.44041829299994, -70.63003526899996 -33.44040647899993, -70.63010542099994 -33.44010864499995, -70.63011139399998 -33.44008328499996, -70.63015393999996 -33.43990265299993, -70.63016050999994 -33.43987357599997, -70.63030109199997 -33.43925140099998, -70.63037139099998 -33.438930134999964, -70.63042385699998 -33.43873118799996, -70.63042616899997 -33.438722420999966, -70.63045714099997 -33.43858751399995, -70.63050888699996 -33.438409966999984, -70.63061235599997 -33.43795169999993, -70.63062529499996 -33.437894392999965, -70.63065913099996 -33.43773718299997, -70.63073897099997 -33.43739343499993, -70.63084537099996 -33.436935336999966, -70.63087893599999 -33.436790824999946, -70.63097199999999 -33.43637153499998, -70.63098158699995 -33.43632834099998, -70.63105380299999 -33.43623205599994, -70.63105886899996 -33.43622881099998, -70.63106922099996 -33.43622217999996, -70.63114254199996 -33.43615893899994, -70.63114253699996 -33.43615814999998, -70.63114206899996 -33.436089177999975, -70.63114199399996 -33.43607806799997, -70.63094366899998 -33.43599606499998, -70.63086859999999 -33.43596502599996, -70.63059929399998 -33.43585367299994, -70.63040465199998 -33.43576695799993, -70.63012255199999 -33.43564127999997, -70.62992039699998 -33.43555318799997, -70.62979808699998 -33.43549988899997, -70.62964493899995 -33.43543214099998, -70.62938262499995 -33.435316100999955, -70.62866923999997 -33.43500705599996, -70.62853003999999 -33.43494775999994, -70.62850131299996 -33.43498665399994, -70.62843359199996 -33.43507834199994, -70.62840615899995 -33.43512788499993, -70.62837592299996 -33.43530864799993, -70.62829409099999 -33.435724412999946, -70.62829388499995 -33.43572546699994, -70.62826202799994 -33.435887314999945, -70.62811329899995 -33.43661982499998, -70.62811108499994 -33.436630726999965, -70.62794301199995 -33.437469706999934, -70.62788107799997 -33.43771518999995, -70.62783232399994 -33.437908429999936, -70.62778777799997 -33.438084989999936, -70.62762414299993 -33.43875449199993, -70.62750906099996 -33.43928808299995, -70.62749276399995 -33.439333387999966, -70.62724713599994 -33.44034666199997, -70.62724729599995 -33.44034669299998, -70.62762985899997 -33.44042073999998, -70.62777073699993 -33.440448007999976, -70.62837404499999 -33.44056649899994, -70.62870841599994 -33.44063216999996, -70.62884082099998 -33.440658173999964, -70.62921040799995 -33.44072972199996, -70.62993740899998 -33.44087045699996, -70.63003520899997 -33.44092328099998, -70.63050282099994 -33.441014225999936))",155554.2504688288
13120,ÑUÑOA,13120021005,2.78318812329e-05,"POLYGON ((-70.57676681199996 -33.43640495999995, -70.57645834799996 -33.43648553899993, -70.57626187399995 -33.43656920199993, -70.57620245299995 -33.43661053999995, -70.57584665399997 -33.43675033899996, -70.57544866299997 -33.43691772699998, -70.57523747199997 -33.43702412199997, -70.57507496199997 -33.43708622199995, -70.57504217699994 -33.43709874999996, -70.57470560899998 -33.43726633599994, -70.57468904199999 -33.437274584999955, -70.57449766699995 -33.43737889199997, -70.57408266999994 -33.43760508099996, -70.57403964999997 -33.43762852899994, -70.57401488899995 -33.437642024999946, -70.57396904999996 -33.43766700899994, -70.57387071299996 -33.43772646499997, -70.57386967299993 -33.43772709399997, -70.57385213099997 -33.43773769999996, -70.57385198499998 -33.437737787999936, -70.57382575799994 -33.43775364499993, -70.57373944499994 -33.437805830999935, -70.57363761199997 -33.43786740099995, -70.57361454899996 -33.437916805999976, -70.57361359599997 -33.437918846999935, -70.57360636399994 -33.43793433899998, -70.57360634499997 -33.437934380999934, -70.57353774099994 -33.438081343999954, -70.57352686199994 -33.43810337499997, -70.57350826199996 -33.43814104499995, -70.57345940799996 -33.43823998599993, -70.57345640999995 -33.43824991799994, -70.57345541099994 -33.43825322799995, -70.57340295499995 -33.438427013999956, -70.57339620499994 -33.43845066599994, -70.57335472399996 -33.438596022999945, -70.57334830999997 -33.438624851999975, -70.57334426099999 -33.43864304999994, -70.57333205399993 -33.43869791099996, -70.57328357299997 -33.438915804999965, -70.57328265799998 -33.43892066899997, -70.57323352699996 -33.43918172599996, -70.57321670799996 -33.439271091999956, -70.57318218499995 -33.43945452799994, -70.57318141199994 -33.43945865999996, -70.57315207099998 -33.43961547099997, -70.57314320899997 -33.439662830999964, -70.57309117499994 -33.43998215499994, -70.57304265699997 -33.44027990099994, -70.57297793899994 -33.44067705699996, -70.57293534899998 -33.44093842099994, -70.57291401899994 -33.441069321999976, -70.57290820999998 -33.44110497099996, -70.57288134399994 -33.44126983999996, -70.57285942999994 -33.44140432599994, -70.57285942299995 -33.44140436599997, -70.57284428199995 -33.44149062799994, -70.57282303999995 -33.44161151199995, -70.57277740599994 -33.44187119999998, -70.57270800199996 -33.442266159999974, -70.57267369099998 -33.44246141599996, -70.57266306899999 -33.44252186399996, -70.57273076999996 -33.44252920699995, -70.57475872799995 -33.442783034999934, -70.57482879799994 -33.44279116299998, -70.57535046799995 -33.44286402299997, -70.57646073099994 -33.44296882799995, -70.57660826399996 -33.44298498899997, -70.57671782799997 -33.44298359499993, -70.57680236899995 -33.442955464999955, -70.57686993299995 -33.44293656899998, -70.57693873499994 -33.44291576099994, -70.57746137099997 -33.442757695999944, -70.57750046799998 -33.442550661999974, -70.57750063599997 -33.44254977299994, -70.57751863799996 -33.44239749899998, -70.57753833599998 -33.44223087699993, -70.57756291299995 -33.44202298899995, -70.57756661999997 -33.44199729099995, -70.57757567999994 -33.44193448499993, -70.57761176699995 -33.44161278299998, -70.57762331799995 -33.441523289999964, -70.57766354199998 -33.44114985099998, -70.57769557799998 -33.44090555899993, -70.57777608099997 -33.440291671999944, -70.57789607599994 -33.43932077799997, -70.57802620299998 -33.438232296999956, -70.57802664999997 -33.43822911999996, -70.57804097499996 -33.438127418999954, -70.57810486999995 -33.43767375799996, -70.57812162199997 -33.43754346399993, -70.57813774099998 -33.43741809199997, -70.57814949299996 -33.43732668699994, -70.57817441999998 -33.437132805999966, -70.57817237899997 -33.43708222699996, -70.57819430399996 -33.43691743199997, -70.57821086799999 -33.43679292999997, -70.57821456199997 -33.436763327999984, -70.57822931199996 -33.436645142999964, -70.57824189099995 -33.43656235399993, -70.57824272799996 -33.43654219299998, -70.57824434199995 -33.43650330199995, -70.57823639499998 -33.43645323499993, -70.57822371899994 -33.43641142399997, -70.57821767899998 -33.436391501999935, -70.57818153399995 -33.43632251399998, -70.57817295099994 -33.43630613199997, -70.57817289699994 -33.436306144999946, -70.57807639499998 -33.43632936999995, -70.57748869799997 -33.436470810999936, -70.57747087199994 -33.436398243999975, -70.57746038499994 -33.43635555499998, -70.57745781799997 -33.43634510299995, -70.57744463499995 -33.436299040999984, -70.57743505799993 -33.43626557799996, -70.57743455499997 -33.43626569899993, -70.57739856699999 -33.436274354999966, -70.57738523299997 -33.43627756199993, -70.57731290799995 -33.43629495899995, -70.57701887899998 -33.436365680999984, -70.57693587099993 -33.43636673699996, -70.57691329899995 -33.436371839999936, -70.57676681199996 -33.43640495999995))",286962.976912709
13114,LAS CONDES,13114051001,3.35738695602e-05,"POLYGON ((-70.56007814799995 -33.41641073099993, -70.56035239999994 -33.41697882099993, -70.56044201099996 -33.41712829699998, -70.56135306599998 -33.41697065899996, -70.56213056599995 -33.41684000199996, -70.56236416299998 -33.41680384499995, -70.56260636399998 -33.41676195599996, -70.56291925299996 -33.41670784099995, -70.56315352799999 -33.416672785999936, -70.56399282899997 -33.416522387999976, -70.56414605299994 -33.41650241899998, -70.56425044499997 -33.41649961699994, -70.56438221999997 -33.416505316999974, -70.56450450899996 -33.41652585999998, -70.56464263399994 -33.41655928799997, -70.56472511699997 -33.416590146999965, -70.56497995899997 -33.415773298999966, -70.56508701799999 -33.41536628599994, -70.56528570699999 -33.41472983399996, -70.56572157499994 -33.413241436999954, -70.56598062799998 -33.412359580999976, -70.56612706799996 -33.411754747999964, -70.56613874499993 -33.41170651799996, -70.56614402999998 -33.41168578999998, -70.56614885899995 -33.41166685299993, -70.56627744399998 -33.41116254199994, -70.56628638599994 -33.411127472999965, -70.56619686899995 -33.411101547999976, -70.56544237499998 -33.41091013499994, -70.56534387699998 -33.41088514599994, -70.56518803499995 -33.410848751999936, -70.56513383999999 -33.41083278499997, -70.56489288199998 -33.41077530499996, -70.56478008499994 -33.41074561499994, -70.56466732399997 -33.41071502099993, -70.56455669399998 -33.41066849799995, -70.56445775699996 -33.41060944299994, -70.56433973499998 -33.41051172899995, -70.56401289499996 -33.41020020499997, -70.56377218699998 -33.40995072299995, -70.56368776199997 -33.410011966999946, -70.56312521699994 -33.410414308999975, -70.56270580599994 -33.41071269299994, -70.56247999599998 -33.41089343099998, -70.56217517399995 -33.41109869299993, -70.56212410899997 -33.41114388799997, -70.56128242399996 -33.41176773999996, -70.56103831499996 -33.41194866999996, -70.56040252799994 -33.41240108499994, -70.55953205699996 -33.41303430599993, -70.55879536099997 -33.41357565599998, -70.55872980399994 -33.41363058999997, -70.55876216399997 -33.41371134999997, -70.55895926999995 -33.41407862899996, -70.55927845699995 -33.41473296399994, -70.55939819799994 -33.415002011999945, -70.55957164899996 -33.41533975799996, -70.55984906999998 -33.41591622399994, -70.55994655199999 -33.41613813999993, -70.56007814799995 -33.41641073099993))",346265.3027900747
